,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,Driver,TrackStatus,IsAccurate,RoundNumber,EventName,IsSlick,CompoundName,Position,IsValid,DeltaToRep,PctFromRep,DeltaToFastest,PctFromFastest,DeltaToLapRep,PctFromLapRep
0,0 days 00:33:58.701000,77,,1.0,1.0,0 days 00:04:25.446000,,False,SOFT,4.0,False,Mercedes,BOT,1,False,1,Austrian Grand Prix,True,C4,1.0,False,,,,,,
1,0 days 00:35:08.142000,77,69.441,2.0,1.0,,,False,SOFT,5.0,False,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C4,1.0,True,-0.5859999999999985,-0.837,1.9660000000000082,2.914,-2.712999999999994,-3.76
2,0 days 00:36:17.740000,77,69.598,3.0,1.0,,,False,SOFT,6.0,False,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C4,1.0,True,-0.42900000000000205,-0.613,2.1230000000000047,3.146,-1.617999999999995,-2.272
3,0 days 00:37:27.332000,77,69.592,4.0,1.0,,,False,SOFT,7.0,False,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C4,1.0,True,-0.4350000000000023,-0.621,2.1170000000000044,3.137,-1.085000000000008,-1.535
4,0 days 00:38:36.491000,77,69.159,5.0,1.0,,,False,SOFT,8.0,False,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C4,1.0,True,-0.867999999999995,-1.24,1.6840000000000117,2.496,-1.3699999999999903,-1.942
5,0 days 00:39:45.877000,77,69.386,6.0,1.0,,,False,SOFT,9.0,False,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C4,1.0,True,-0.6410000000000053,-0.915,1.9110000000000014,2.832,-1.3880000000000052,-1.961
6,0 days 00:40:54.928000,77,69.051,7.0,1.0,,,False,SOFT,10.0,False,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C4,1.0,True,-0.9759999999999991,-1.394,1.5760000000000076,2.336,-1.7920000000000016,-2.53
7,0 days 00:42:04.113000,77,69.185,8.0,1.0,,,False,SOFT,11.0,False,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C4,1.0,True,-0.8419999999999987,-1.202,1.710000000000008,2.534,-1.5,-2.122
8,0 days 00:43:13.470000,77,69.357,9.0,1.0,,,False,SOFT,12.0,False,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C4,1.0,True,-0.6700000000000017,-0.957,1.882000000000005,2.789,-1.3260000000000076,-1.876
9,0 days 00:49:00.782000,77,69.547,10.0,1.0,,,False,SOFT,13.0,False,Mercedes,BOT,1,False,1,Austrian Grand Prix,True,C4,3.0,False,-0.480000000000004,-0.685,2.0720000000000027,3.071,-1.2789999999999964,-1.806
10,0 days 00:50:10.082000,77,69.3,11.0,1.0,,,False,SOFT,14.0,False,Mercedes,BOT,1,False,1,Austrian Grand Prix,True,C4,2.0,False,-0.7270000000000039,-1.038,1.8250000000000028,2.705,-1.524000000000001,-2.152
11,0 days 00:51:19.499000,77,69.417,12.0,1.0,,,False,SOFT,15.0,False,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C4,2.0,True,-0.6099999999999994,-0.871,1.9420000000000073,2.878,-1.676000000000002,-2.357
12,0 days 00:52:28.723000,77,69.224,13.0,1.0,,,False,SOFT,16.0,False,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C4,2.0,True,-0.8029999999999973,-1.147,1.7490000000000094,2.592,-1.4029999999999916,-1.986
13,0 days 00:53:37.772000,77,69.049,14.0,1.0,,,False,SOFT,17.0,False,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C4,2.0,True,-0.9779999999999944,-1.397,1.5740000000000123,2.333,-1.6829999999999927,-2.379
14,0 days 00:54:47.032000,77,69.26,15.0,1.0,,,False,SOFT,18.0,False,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C4,2.0,True,-0.7669999999999959,-1.095,1.7850000000000108,2.645,-1.5300000000000011,-2.161
15,0 days 00:55:56.544000,77,69.512,16.0,1.0,,,False,SOFT,19.0,False,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C4,2.0,True,-0.5150000000000006,-0.735,2.037000000000006,3.019,-1.0579999999999927,-1.499
16,0 days 00:57:06.243000,77,69.699,17.0,1.0,,,False,SOFT,20.0,False,Mercedes,BOT,2,True,1,Austrian Grand Prix,True,C4,2.0,False,-0.32800000000000296,-0.468,2.2240000000000038,3.296,-0.8299999999999983,-1.177
17,0 days 00:58:16.090000,77,69.847,18.0,1.0,,,False,SOFT,21.0,False,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C4,2.0,True,-0.18000000000000682,-0.257,2.372,3.515,-0.7970000000000113,-1.128
18,0 days 00:59:25.707000,77,69.617,19.0,1.0,,,False,SOFT,22.0,False,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C4,2.0,True,-0.4099999999999966,-0.585,2.14200000000001,3.175,-0.9509999999999934,-1.348
19,0 days 01:00:36.112000,77,70.405,20.0,1.0,,,False,SOFT,23.0,False,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C4,2.0,True,0.3780000000000001,0.54,2.930000000000007,4.342,-0.22700000000000387,-0.321
20,0 days 01:01:46.261000,77,70.149,21.0,1.0,,,False,SOFT,24.0,False,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C4,2.0,True,0.12199999999999989,0.174,2.6740000000000066,3.963,-23.114000000000004,-24.784
21,0 days 01:03:10.379000,77,84.118,22.0,1.0,,0 days 01:03:07.094000,False,SOFT,25.0,False,Mercedes,BOT,24,False,1,Austrian Grand Prix,True,C4,2.0,False,14.090999999999994,20.122,16.643,24.665,-25.611000000000004,-23.34
22,0 days 01:05:13.312000,77,122.933,23.0,2.0,0 days 01:03:29.047000,,False,HARD,1.0,True,Mercedes,BOT,4,False,1,Austrian Grand Prix,True,C2,2.0,False,52.906000000000006,75.551,55.45800000000001,82.19,28.281000000000006,29.879
23,0 days 01:07:04.161000,77,110.849,24.0,2.0,,,False,HARD,2.0,True,Mercedes,BOT,4,False,1,Austrian Grand Prix,True,C2,2.0,False,40.822,58.295,43.37400000000001,64.282,-3.201999999999998,-2.808
24,0 days 01:08:59.444000,77,115.283,25.0,2.0,,,False,HARD,3.0,True,Mercedes,BOT,4,False,1,Austrian Grand Prix,True,C2,2.0,False,45.256,64.627,47.80800000000001,70.853,9.117999999999995,8.589
25,0 days 01:10:53.187000,77,113.743,26.0,2.0,,,False,HARD,4.0,True,Mercedes,BOT,4,False,1,Austrian Grand Prix,True,C2,2.0,False,43.715999999999994,62.427,46.268,68.571,42.69499999999999,60.093
26,0 days 01:12:01.923000,77,68.736,27.0,2.0,,,False,HARD,5.0,True,Mercedes,BOT,2,False,1,Austrian Grand Prix,True,C2,2.0,False,-1.2909999999999968,-1.844,1.26100000000001,1.869,-1.4679999999999893,-2.091
27,0 days 01:13:10.656000,77,68.733,28.0,2.0,,,False,HARD,6.0,True,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C2,2.0,True,-1.293999999999997,-1.848,1.2580000000000098,1.864,-1.3469999999999942,-1.922
28,0 days 01:14:19.176000,77,68.52,29.0,2.0,,,False,HARD,7.0,True,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C2,2.0,True,-1.507000000000005,-2.152,1.0450000000000017,1.549,-1.0889999999999986,-1.564
29,0 days 01:15:27.700000,77,68.524,30.0,2.0,,,False,HARD,8.0,True,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C2,2.0,True,-1.5030000000000001,-2.146,1.0490000000000066,1.555,-1.5049999999999955,-2.149
30,0 days 01:16:36.133000,77,68.433,31.0,2.0,,,False,HARD,9.0,True,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C2,2.0,True,-1.593999999999994,-2.276,0.9580000000000126,1.42,-1.5899999999999892,-2.271
31,0 days 01:17:44.393000,77,68.26,32.0,2.0,,,False,HARD,10.0,True,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C2,2.0,True,-1.766999999999996,-2.523,0.7850000000000108,1.163,-1.426000000000002,-2.046
32,0 days 01:18:52.587000,77,68.194,33.0,2.0,,,False,HARD,11.0,True,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C2,2.0,True,-1.8329999999999984,-2.618,0.7190000000000083,1.066,-1.4809999999999945,-2.126
33,0 days 01:20:00.822000,77,68.235,34.0,2.0,,,False,HARD,12.0,True,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C2,2.0,True,-1.7920000000000016,-2.559,0.7600000000000051,1.126,-1.4129999999999967,-2.029
34,0 days 01:21:09.125000,77,68.303,35.0,2.0,,,False,HARD,13.0,True,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C2,2.0,True,-1.7240000000000038,-2.462,0.828000000000003,1.227,-1.433000000000007,-2.055
35,0 days 01:22:17.256000,77,68.131,36.0,2.0,,,False,HARD,14.0,True,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C2,2.0,True,-1.8960000000000008,-2.708,0.6560000000000059,0.972,-1.6470000000000056,-2.36
36,0 days 01:23:25.398000,77,68.142,37.0,2.0,,,False,HARD,15.0,True,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C2,2.0,True,-1.8850000000000051,-2.692,0.6670000000000016,0.989,-1.5060000000000002,-2.162
37,0 days 01:24:33.670000,77,68.272,38.0,2.0,,,False,HARD,16.0,True,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C2,2.0,True,-1.7549999999999955,-2.506,0.7970000000000113,1.181,-1.2620000000000005,-1.815
38,0 days 01:25:42.142000,77,68.472,39.0,2.0,,,False,HARD,17.0,True,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C2,2.0,True,-1.5550000000000068,-2.221,0.9969999999999999,1.478,-0.916000000000011,-1.32
39,0 days 01:26:50.464000,77,68.322,40.0,2.0,,,False,HARD,18.0,True,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C2,2.0,True,-1.7049999999999983,-2.435,0.8470000000000084,1.255,-1.426000000000002,-2.045
40,0 days 01:27:58.695000,77,68.231,41.0,2.0,,,False,HARD,19.0,True,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C2,2.0,True,-1.7960000000000065,-2.565,0.7560000000000002,1.12,-1.0889999999999986,-1.571
41,0 days 01:29:07.157000,77,68.462,42.0,2.0,,,False,HARD,20.0,True,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C2,2.0,True,-1.5649999999999977,-2.235,0.987000000000009,1.463,-0.6880000000000024,-0.995
42,0 days 01:30:15.578000,77,68.421,43.0,2.0,,,False,HARD,21.0,True,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C2,2.0,True,-1.6059999999999945,-2.293,0.9460000000000122,1.402,-0.8089999999999975,-1.169
43,0 days 01:31:23.857000,77,68.279,44.0,2.0,,,False,HARD,22.0,True,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C2,2.0,True,-1.7480000000000047,-2.496,0.804000000000002,1.192,-1.0649999999999977,-1.536
44,0 days 01:32:32.279000,77,68.422,45.0,2.0,,,False,HARD,23.0,True,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C2,2.0,True,-1.605000000000004,-2.292,0.9470000000000027,1.403,-0.7130000000000081,-1.031
45,0 days 01:33:40.630000,77,68.351,46.0,2.0,,,False,HARD,24.0,True,Mercedes,BOT,1,True,1,Austrian Grand Prix,True,C2,2.0,True,-1.676000000000002,-2.393,0.8760000000000048,1.298,-18.007000000000005,-20.852
46,0 days 01:34:56.014000,77,75.384,47.0,2.0,,,False,HARD,25.0,True,Mercedes,BOT,24,False,1,Austrian Grand Prix,True,C2,2.0,False,5.356999999999999,7.65,7.909000000000006,11.721,-27.465999999999994,-26.705
47,0 days 01:36:51.409000,77,115.395,48.0,2.0,,,False,HARD,26.0,True,Mercedes,BOT,4,False,1,Austrian Grand Prix,True,C2,2.0,False,45.367999999999995,64.786,47.92,71.019,11.38199999999999,10.943
48,0 days 01:38:51.509000,77,120.1,49.0,2.0,,,False,HARD,27.0,True,Mercedes,BOT,4,False,1,Austrian Grand Prix,True,C2,2.0,False,50.07299999999999,71.505,52.625,77.992,26.668999999999997,28.544
49,0 days 01:40:31.602000,77,100.093,50.0,2.0,,,False,HARD,28.0,True,Mercedes,BOT,4,False,1,Austrian Grand Prix,True,C2,2.0,False,30.066000000000003,42.935,32.61800000000001,48.341,-1.1769999999999925,-1.162
50,0 days 01:42:07.681000,77,96.079,51.0,2.0,,,False,HARD,29.0,True,Mercedes,BOT,24,False,1,Austrian Grand Prix,True,C2,2.0,False,26.051999999999992,37.203,28.604,42.392,-19.418000000000006,-16.813
51,0 days 01:44:02.489000,77,114.808,52.0,2.0,,0 days 01:43:59.028000,False,HARD,30.0,True,Mercedes,BOT,4,False,1,Austrian Grand Prix,True,C2,2.0,False,44.781000000000006,63.948,47.33300000000001,70.149,-0.0689999999999884,-0.06
52,0 days 01:46:00.326000,77,117.837,53.0,3.0,0 days 01:44:15.437000,,False,HARD,31.0,False,Mercedes,BOT,4,False,1,Austrian Grand Prix,True,C2,2.0,False,47.81,68.274,50.36200000000001,74.638,6.998000000000005,6.314
53,0 days 01:47:50.141000,77,109.815,54.0,3.0,,,False,HARD,32.0,False,Mercedes,BOT,4,False,1,Austrian Grand Prix,True,C2,2.0,False,39.788,56.818,42.34,62.749,6.2180000000000035,6.002
54,0 days 01:49:32.766000,77,102.625,55.0,3.0,,,False,HARD,33.0,False,Mercedes,BOT,4,False,1,Austrian Grand Prix,True,C2,2.0,False,32.598,46.551,35.150000000000006,52.093,10.040000000000006,10.844
55,0 days 01:51:11.312000,77,98.546,56.0,3.0,,,False,HARD,34.0,False,Mercedes,BOT,4,False,1,Austrian Grand Prix,True,C2,2.0,False,28.519000000000005,40.726,31.071000000000012,46.048,27.35900000000001,38.433
56,0 days 01:52:19.516000,77,68.204,57.0,3.0,,,False,HARD,35.0,False,Mercedes,BOT,1,False,1,Austrian Grand Prix,True,C2,2.0,False,-1.8230000000000075,-2.603,0.7289999999999992,1.08,-1.605000000000004,-2.299
