Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,RoundNumber,EventName,IsSlick,CompoundName,IsValid,DeltaToRep,PctFromRep,DeltaToFastest,PctFromFastest,DeltaToLapRep,PctFromLapRep
0 days 00:39:14.871000,GAS,10,124.697,1.0,1.0,0 days 00:00:04.260000,,False,MEDIUM,4.0,False,AlphaTauri,24,5.0,False,1,Bahrain Grand Prix,True,C3,False,28.239,29.276,32.607,35.408,-8.642,-6.481
0 days 00:41:37.134000,GAS,10,142.263,2.0,1.0,,,True,MEDIUM,5.0,False,AlphaTauri,4,5.0,False,1,Bahrain Grand Prix,True,C3,False,45.805,47.487,50.173,54.483,2.573,1.842
0 days 00:44:09.738000,GAS,10,,3.0,1.0,,,False,MEDIUM,6.0,False,AlphaTauri,4,5.0,False,1,Bahrain Grand Prix,True,C3,False,,,,,,
0 days 00:46:16.510000,GAS,10,126.772,4.0,1.0,,0 days 00:46:14.801000,False,MEDIUM,7.0,False,AlphaTauri,267,18.0,False,1,Bahrain Grand Prix,True,C3,False,30.314,31.427,34.682,37.661,13.153,11.576
0 days 00:48:28.044000,GAS,10,131.534,5.0,2.0,0 days 00:46:53.133000,,False,HARD,1.0,True,AlphaTauri,7,19.0,False,1,Bahrain Grand Prix,True,C2,False,35.076,36.364,39.444,42.832,30.198,29.8
0 days 00:50:04.721000,GAS,10,96.677,6.0,2.0,,,True,HARD,2.0,True,AlphaTauri,1,19.0,True,1,Bahrain Grand Prix,True,C2,True,0.219,0.227,4.587,4.981,-0.975,-0.998
0 days 00:51:41.675000,GAS,10,96.954,7.0,2.0,,,False,HARD,3.0,True,AlphaTauri,1,19.0,True,1,Bahrain Grand Prix,True,C2,True,0.496,0.514,4.864,5.282,-0.375,-0.385
0 days 00:53:19.099000,GAS,10,97.424,8.0,2.0,,,False,HARD,4.0,True,AlphaTauri,1,19.0,True,1,Bahrain Grand Prix,True,C2,True,0.966,1.001,5.334,5.792,-0.405,-0.414
0 days 00:54:56.129000,GAS,10,97.03,9.0,2.0,,,False,HARD,5.0,True,AlphaTauri,1,19.0,True,1,Bahrain Grand Prix,True,C2,True,0.572,0.593,4.94,5.364,-0.877,-0.896
0 days 00:56:33.504000,GAS,10,97.375,10.0,2.0,,,False,HARD,6.0,True,AlphaTauri,1,19.0,True,1,Bahrain Grand Prix,True,C2,True,0.917,0.951,5.285,5.739,-0.363,-0.371
0 days 00:58:11.021000,GAS,10,97.517,11.0,2.0,,,False,HARD,7.0,True,AlphaTauri,1,19.0,True,1,Bahrain Grand Prix,True,C2,True,1.059,1.098,5.427,5.893,-0.144,-0.147
0 days 00:59:49.075000,GAS,10,98.054,12.0,2.0,,,False,HARD,8.0,True,AlphaTauri,1,19.0,True,1,Bahrain Grand Prix,True,C2,True,1.596,1.655,5.964,6.476,0.033,0.034
0 days 01:01:26.949000,GAS,10,97.874,13.0,2.0,,,False,HARD,9.0,True,AlphaTauri,1,19.0,True,1,Bahrain Grand Prix,True,C2,True,1.416,1.468,5.784,6.281,0.107,0.109
0 days 01:03:05.251000,GAS,10,98.302,14.0,2.0,,,False,HARD,10.0,True,AlphaTauri,1,19.0,True,1,Bahrain Grand Prix,True,C2,True,1.844,1.912,6.212,6.746,0.999,1.027
0 days 01:04:43.252000,GAS,10,98.001,15.0,2.0,,,False,HARD,11.0,True,AlphaTauri,1,17.0,True,1,Bahrain Grand Prix,True,C2,True,1.543,1.6,5.911,6.419,1.211,1.251
0 days 01:06:21.245000,GAS,10,97.993,16.0,2.0,,,False,HARD,12.0,True,AlphaTauri,1,17.0,True,1,Bahrain Grand Prix,True,C2,True,1.535,1.591,5.903,6.41,0.944,0.973
0 days 01:07:59.660000,GAS,10,98.415,17.0,2.0,,,False,HARD,13.0,True,AlphaTauri,1,17.0,True,1,Bahrain Grand Prix,True,C2,True,1.957,2.029,6.325,6.868,1.353,1.394
0 days 01:09:38.932000,GAS,10,99.272,18.0,2.0,,,False,HARD,14.0,True,AlphaTauri,1,18.0,True,1,Bahrain Grand Prix,True,C2,True,2.814,2.917,7.182,7.799,2.155,2.219
0 days 01:11:19.770000,GAS,10,100.838,19.0,2.0,,0 days 01:11:18.062000,False,HARD,15.0,True,AlphaTauri,1,18.0,False,1,Bahrain Grand Prix,True,C2,False,4.38,4.541,8.748,9.499,4.164,4.307
0 days 01:13:19.060000,GAS,10,119.29,20.0,3.0,0 days 01:11:42.399000,,False,MEDIUM,4.0,False,AlphaTauri,1,19.0,False,1,Bahrain Grand Prix,True,C3,False,22.832,23.67,27.2,29.536,22.011,22.627
0 days 01:14:55.543000,GAS,10,96.483,21.0,3.0,,,True,MEDIUM,5.0,False,AlphaTauri,1,19.0,True,1,Bahrain Grand Prix,True,C3,True,0.025,0.026,4.393,4.77,-0.723,-0.744
0 days 01:16:32.018000,GAS,10,96.475,22.0,3.0,,,True,MEDIUM,6.0,False,AlphaTauri,1,19.0,True,1,Bahrain Grand Prix,True,C3,True,0.017,0.018,4.385,4.762,-0.207,-0.214
0 days 01:18:08.439000,GAS,10,96.421,23.0,3.0,,,True,MEDIUM,7.0,False,AlphaTauri,1,19.0,True,1,Bahrain Grand Prix,True,C3,True,-0.037,-0.038,4.331,4.703,-0.422,-0.436
0 days 01:19:44.958000,GAS,10,96.519,24.0,3.0,,,False,MEDIUM,8.0,False,AlphaTauri,1,19.0,True,1,Bahrain Grand Prix,True,C3,True,0.061,0.063,4.429,4.809,0.055,0.057
0 days 01:21:21.430000,GAS,10,96.472,25.0,3.0,,,False,MEDIUM,9.0,False,AlphaTauri,1,19.0,True,1,Bahrain Grand Prix,True,C3,True,0.014,0.015,4.382,4.758,-0.38,-0.392
0 days 01:22:58.320000,GAS,10,96.89,26.0,3.0,,,False,MEDIUM,10.0,False,AlphaTauri,1,19.0,True,1,Bahrain Grand Prix,True,C3,True,0.432,0.448,4.8,5.212,0.204,0.211
0 days 01:24:34.714000,GAS,10,96.394,27.0,3.0,,,True,MEDIUM,11.0,False,AlphaTauri,1,18.0,True,1,Bahrain Grand Prix,True,C3,True,-0.064,-0.066,4.304,4.674,-0.18,-0.186
0 days 01:26:11.226000,GAS,10,96.512,28.0,3.0,,,False,MEDIUM,12.0,False,AlphaTauri,1,18.0,True,1,Bahrain Grand Prix,True,C3,True,0.054,0.056,4.422,4.802,-0.065,-0.067
0 days 01:27:47.443000,GAS,10,96.217,29.0,3.0,,,True,MEDIUM,13.0,False,AlphaTauri,1,18.0,True,1,Bahrain Grand Prix,True,C3,True,-0.241,-0.25,4.127,4.481,-0.429,-0.444
0 days 01:29:23.504000,GAS,10,96.061,30.0,3.0,,,True,MEDIUM,14.0,False,AlphaTauri,1,18.0,True,1,Bahrain Grand Prix,True,C3,True,-0.397,-0.412,3.971,4.312,-0.356,-0.369
0 days 01:30:59.689000,GAS,10,96.185,31.0,3.0,,,False,MEDIUM,15.0,False,AlphaTauri,1,18.0,True,1,Bahrain Grand Prix,True,C3,True,-0.273,-0.283,4.095,4.447,-0.192,-0.199
0 days 01:32:36.141000,GAS,10,96.452,32.0,3.0,,,False,MEDIUM,16.0,False,AlphaTauri,1,18.0,True,1,Bahrain Grand Prix,True,C3,True,-0.006,-0.006,4.362,4.737,0.059,0.061
0 days 01:34:12.498000,GAS,10,96.357,33.0,3.0,,,False,MEDIUM,17.0,False,AlphaTauri,1,16.0,True,1,Bahrain Grand Prix,True,C3,True,-0.101,-0.105,4.267,4.634,-0.067,-0.069
