Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,RoundNumber,EventName,IsSlick,CompoundName,IsValid,DeltaToRep,PctFromRep,DeltaToFastest,PctFromFastest,DeltaToLapRep,PctFromLapRep,FuelAdjLapTime
0 days 01:04:15.422000,VER,1,100.236,1.0,1.0,0 days 00:21:32.991000,,False,SOFT,4.0,False,Red Bull Racing,1,2.0,False,1,Bahrain Grand Prix,True,C3,False,0.914,0.92,5.666,5.991,-6.667,-6.236,100.236
0 days 01:05:53.302000,VER,1,97.88,2.0,1.0,,,True,SOFT,5.0,False,Red Bull Racing,1,2.0,True,1,Bahrain Grand Prix,True,C3,True,-1.442,-1.452,3.31,3.5,-2.6,-2.588,97.938
0 days 01:07:31.659000,VER,1,98.357,3.0,1.0,,,False,SOFT,6.0,False,Red Bull Racing,1,2.0,True,1,Bahrain Grand Prix,True,C3,True,-0.965,-0.972,3.787,4.004,-2.076,-2.067,98.473
0 days 01:09:10.225000,VER,1,98.566,4.0,1.0,,,False,SOFT,7.0,False,Red Bull Racing,1,2.0,True,1,Bahrain Grand Prix,True,C3,True,-0.756,-0.761,3.996,4.225,-1.735,-1.73,98.74
0 days 01:10:49.102000,VER,1,98.877,5.0,1.0,,,False,SOFT,8.0,False,Red Bull Racing,1,2.0,True,1,Bahrain Grand Prix,True,C3,True,-0.445,-0.448,4.307,4.554,-1.949,-1.933,99.109
0 days 01:12:28.042000,VER,1,98.94,6.0,1.0,,,False,SOFT,9.0,False,Red Bull Racing,1,2.0,True,1,Bahrain Grand Prix,True,C3,True,-0.382,-0.385,4.37,4.621,-1.694,-1.683,99.229
0 days 01:14:07.104000,VER,1,99.062,7.0,1.0,,,False,SOFT,10.0,False,Red Bull Racing,1,2.0,True,1,Bahrain Grand Prix,True,C3,True,-0.26,-0.262,4.492,4.75,-1.706,-1.693,99.409
0 days 01:15:46.196000,VER,1,99.092,8.0,1.0,,,False,SOFT,11.0,False,Red Bull Racing,1,2.0,True,1,Bahrain Grand Prix,True,C3,True,-0.23,-0.232,4.522,4.782,-2.386,-2.351,99.497
0 days 01:17:25.447000,VER,1,99.251,9.0,1.0,,,False,SOFT,12.0,False,Red Bull Racing,1,2.0,True,1,Bahrain Grand Prix,True,C3,True,-0.071,-0.071,4.681,4.95,-1.621,-1.607,99.714
0 days 01:19:04.839000,VER,1,99.392,10.0,1.0,,,False,SOFT,13.0,False,Red Bull Racing,1,2.0,True,1,Bahrain Grand Prix,True,C3,True,0.07,0.07,4.822,5.099,-1.875,-1.852,99.913
