Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,RoundNumber,EventName,IsSlick,CompoundName,IsValid,DeltaToRep,PctFromRep,DeltaToFastest,PctFromFastest,DeltaToLapRep,PctFromLapRep,FuelAdjLapTime
0 days 00:08:53.241000,GAS,10,105.06,1.0,,0 days 00:00:04.103000,,False,UNKNOWN,,True,Toro Rosso,1,17.0,False,1,Australian Grand Prix,False,UNKNOWN,False,14.795,16.391,19.115,22.241,3.532,3.479,105.06
0 days 00:10:26.613000,GAS,10,93.372,2.0,1.0,,,True,SOFT,1.0,True,Toro Rosso,1,17.0,True,1,Australian Grand Prix,True,ULTRASOFT,True,4.247,4.765,7.427,8.642,1.807,1.973,93.429
0 days 00:11:59.474000,GAS,10,92.861,3.0,1.0,,,True,SOFT,2.0,True,Toro Rosso,1,17.0,True,1,Australian Grand Prix,True,ULTRASOFT,True,3.736,4.192,6.916,8.047,1.575,1.725,92.975
0 days 00:13:31.658000,GAS,10,92.184,4.0,1.0,,,True,SOFT,3.0,True,Toro Rosso,1,17.0,True,1,Australian Grand Prix,True,ULTRASOFT,True,3.059,3.432,6.239,7.259,1.332,1.466,92.355
0 days 00:15:03.990000,GAS,10,92.332,5.0,1.0,,,False,SOFT,4.0,True,Toro Rosso,2,17.0,True,1,Australian Grand Prix,True,ULTRASOFT,False,3.207,3.598,6.387,7.431,0.851,0.93,92.56
0 days 00:16:42.170000,GAS,10,98.18,6.0,1.0,,,False,SOFT,5.0,True,Toro Rosso,2,16.0,True,1,Australian Grand Prix,True,ULTRASOFT,False,9.055,10.16,12.235,14.236,6.624,7.235,98.464
0 days 00:18:13.707000,GAS,10,91.537,7.0,1.0,,,True,SOFT,6.0,True,Toro Rosso,2,16.0,True,1,Australian Grand Prix,True,ULTRASOFT,False,2.412,2.706,5.592,6.506,0.56,0.616,91.878
0 days 00:19:45.026000,GAS,10,91.319,8.0,1.0,,,True,SOFT,7.0,True,Toro Rosso,1,16.0,True,1,Australian Grand Prix,True,ULTRASOFT,True,2.194,2.462,5.374,6.253,0.56,0.617,91.717
0 days 00:21:16.167000,GAS,10,91.141,9.0,1.0,,,True,SOFT,8.0,True,Toro Rosso,2,16.0,True,1,Australian Grand Prix,True,ULTRASOFT,False,2.016,2.262,5.196,6.046,0.697,0.771,91.596
0 days 00:22:47.303000,GAS,10,91.136,10.0,1.0,,,True,SOFT,9.0,True,Toro Rosso,1,16.0,True,1,Australian Grand Prix,True,ULTRASOFT,True,2.011,2.256,5.191,6.04,0.155,0.17,91.648
