Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,RoundNumber,EventName,IsSlick,CompoundName,IsValid,DeltaToRep,PctFromRep,DeltaToFastest,PctFromFastest,DeltaToLapRep,PctFromLapRep
0 days 01:04:15.961000,VER,1,99.019,1.0,1.0,0 days 00:21:57.509000,,False,SOFT,4.0,False,Red Bull Racing,2,1.0,False,1,Bahrain Grand Prix,True,C3,False,0.704,0.716,5.023,5.344,-6.647,-6.291
0 days 01:05:53.935000,VER,1,97.974,2.0,1.0,,,True,SOFT,5.0,False,Red Bull Racing,2,1.0,True,1,Bahrain Grand Prix,True,C3,False,-0.341,-0.347,3.978,4.232,-2.445,-2.435
0 days 01:07:31.941000,VER,1,98.006,3.0,1.0,,,False,SOFT,6.0,False,Red Bull Racing,1,1.0,True,1,Bahrain Grand Prix,True,C3,True,-0.309,-0.314,4.01,4.266,-1.856,-1.859
0 days 01:09:09.917000,VER,1,97.976,4.0,1.0,,,False,SOFT,7.0,False,Red Bull Racing,1,1.0,True,1,Bahrain Grand Prix,True,C3,True,-0.339,-0.345,3.98,4.234,-1.816,-1.82
0 days 01:10:47.952000,VER,1,98.035,5.0,1.0,,,False,SOFT,8.0,False,Red Bull Racing,1,1.0,True,1,Bahrain Grand Prix,True,C3,True,-0.28,-0.285,4.039,4.297,-2.583,-2.567
0 days 01:12:25.938000,VER,1,97.986,6.0,1.0,,,False,SOFT,9.0,False,Red Bull Racing,1,1.0,True,1,Bahrain Grand Prix,True,C3,True,-0.329,-0.335,3.99,4.245,-2.552,-2.538
0 days 01:14:03.959000,VER,1,98.021,7.0,1.0,,,False,SOFT,10.0,False,Red Bull Racing,1,1.0,True,1,Bahrain Grand Prix,True,C3,True,-0.294,-0.299,4.025,4.282,-2.584,-2.568
0 days 01:15:42.113000,VER,1,98.154,8.0,1.0,,,False,SOFT,11.0,False,Red Bull Racing,1,1.0,True,1,Bahrain Grand Prix,True,C3,True,-0.161,-0.164,4.158,4.424,-2.55,-2.532
0 days 01:17:20.391000,VER,1,98.278,9.0,1.0,,,False,SOFT,12.0,False,Red Bull Racing,1,1.0,True,1,Bahrain Grand Prix,True,C3,True,-0.037,-0.038,4.282,4.556,-2.505,-2.486
0 days 01:18:58.760000,VER,1,98.369,10.0,1.0,,,False,SOFT,13.0,False,Red Bull Racing,1,1.0,True,1,Bahrain Grand Prix,True,C3,True,0.054,0.055,4.373,4.652,-2.307,-2.292
0 days 01:20:37.243000,VER,1,98.483,11.0,1.0,,,False,SOFT,14.0,False,Red Bull Racing,1,1.0,True,1,Bahrain Grand Prix,True,C3,True,0.168,0.171,4.487,4.774,-2.496,-2.472
0 days 01:22:15.834000,VER,1,98.591,12.0,1.0,,,False,SOFT,15.0,False,Red Bull Racing,1,1.0,True,1,Bahrain Grand Prix,True,C3,True,0.276,0.281,4.595,4.889,-1.413,-1.413
