Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,RoundNumber,EventName,IsSlick,CompoundName,IsValid,DeltaToRep,PctFromRep,DeltaToFastest,PctFromFastest,DeltaToLapRep,PctFromLapRep,FuelAdjLapTime
0 days 00:34:06.353000,GAS,10,79.106,1.0,1.0,0 days 00:04:20.762000,,False,MEDIUM,1.0,True,AlphaTauri,1,12.0,False,1,Austrian Grand Prix,True,C3,False,9.055,12.926,11.631,17.237,0.542,0.69,79.106
0 days 00:35:18.765000,GAS,10,72.412,2.0,1.0,,,True,MEDIUM,2.0,True,AlphaTauri,1,12.0,True,1,Austrian Grand Prix,True,C3,True,2.361,3.37,4.937,7.317,0.258,0.358,72.461
0 days 00:36:30.076000,GAS,10,71.311,3.0,1.0,,,True,MEDIUM,3.0,True,AlphaTauri,1,12.0,True,1,Austrian Grand Prix,True,C3,True,1.26,1.799,3.836,5.685,0.095,0.133,71.408
0 days 00:37:40.801000,GAS,10,70.725,4.0,1.0,,,True,MEDIUM,4.0,True,AlphaTauri,1,12.0,True,1,Austrian Grand Prix,True,C3,True,0.674,0.962,3.25,4.817,0.049,0.069,70.871
0 days 00:38:52.312000,GAS,10,71.511,5.0,1.0,,,False,MEDIUM,5.0,True,AlphaTauri,1,12.0,True,1,Austrian Grand Prix,True,C3,True,1.46,2.084,4.036,5.981,0.982,1.392,71.705
0 days 00:40:04.340000,GAS,10,72.028,6.0,1.0,,,False,MEDIUM,6.0,True,AlphaTauri,1,12.0,True,1,Austrian Grand Prix,True,C3,True,1.977,2.822,4.553,6.748,1.254,1.772,72.271
0 days 00:41:15.513000,GAS,10,71.173,7.0,1.0,,,False,MEDIUM,7.0,True,AlphaTauri,1,12.0,True,1,Austrian Grand Prix,True,C3,True,1.122,1.602,3.698,5.481,0.33,0.466,71.464
0 days 00:42:26.425000,GAS,10,70.912,8.0,1.0,,,False,MEDIUM,8.0,True,AlphaTauri,1,12.0,True,1,Austrian Grand Prix,True,C3,True,0.861,1.229,3.437,5.094,0.227,0.321,71.252
0 days 00:49:32.195000,GAS,10,70.827,9.0,1.0,,,False,MEDIUM,9.0,True,AlphaTauri,1,14.0,False,1,Austrian Grand Prix,True,C3,False,0.776,1.108,3.352,4.968,0.144,0.204,71.215
0 days 00:50:43.165000,GAS,10,70.97,10.0,1.0,,,False,MEDIUM,10.0,True,AlphaTauri,1,14.0,True,1,Austrian Grand Prix,True,C3,True,0.919,1.312,3.495,5.18,0.147,0.208,71.407
0 days 00:51:54.118000,GAS,10,70.953,11.0,1.0,,,False,MEDIUM,11.0,True,AlphaTauri,1,13.0,True,1,Austrian Grand Prix,True,C3,True,0.902,1.288,3.478,5.155,0.129,0.182,71.438
0 days 00:53:04.880000,GAS,10,70.762,12.0,1.0,,,False,MEDIUM,12.0,True,AlphaTauri,1,12.0,True,1,Austrian Grand Prix,True,C3,True,0.711,1.015,3.287,4.871,-0.282,-0.397,71.296
0 days 00:54:15.724000,GAS,10,70.844,13.0,1.0,,,False,MEDIUM,13.0,True,AlphaTauri,1,12.0,True,1,Austrian Grand Prix,True,C3,True,0.793,1.132,3.369,4.993,0.217,0.307,71.426
0 days 00:55:26.436000,GAS,10,70.712,14.0,1.0,,,True,MEDIUM,14.0,True,AlphaTauri,1,11.0,True,1,Austrian Grand Prix,True,C3,True,0.661,0.944,3.237,4.797,-0.02,-0.028,71.343
0 days 00:56:37.375000,GAS,10,70.939,15.0,1.0,,,False,MEDIUM,15.0,True,AlphaTauri,2,11.0,True,1,Austrian Grand Prix,True,C3,False,0.888,1.268,3.464,5.134,0.409,0.58,71.618
0 days 00:57:48.108000,GAS,10,70.733,16.0,1.0,,,False,MEDIUM,16.0,True,AlphaTauri,1,11.0,True,1,Austrian Grand Prix,True,C3,True,0.682,0.974,3.258,4.828,0.221,0.313,71.461
0 days 00:58:58.643000,GAS,10,70.535,17.0,1.0,,,True,MEDIUM,17.0,True,AlphaTauri,1,11.0,True,1,Austrian Grand Prix,True,C3,True,0.484,0.691,3.06,4.535,0.006,0.009,71.311
0 days 01:00:09.315000,GAS,10,70.672,18.0,1.0,,,False,MEDIUM,18.0,True,AlphaTauri,1,11.0,True,1,Austrian Grand Prix,True,C3,True,0.621,0.886,3.197,4.738,0.028,0.04,71.497
0 days 01:01:19.883000,GAS,10,70.568,19.0,1.0,,,False,MEDIUM,19.0,True,AlphaTauri,1,11.0,True,1,Austrian Grand Prix,True,C3,True,0.517,0.738,3.093,4.584,0.074,0.105,71.442
0 days 01:02:30.493000,GAS,10,70.61,20.0,1.0,,,False,MEDIUM,20.0,True,AlphaTauri,2,11.0,True,1,Austrian Grand Prix,True,C3,False,0.559,0.798,3.135,4.646,0.205,0.291,71.532
0 days 01:04:06.262000,GAS,10,95.769,21.0,1.0,,0 days 01:04:02.960000,False,MEDIUM,21.0,True,AlphaTauri,24,11.0,False,1,Austrian Grand Prix,True,C3,False,25.718,36.713,28.294,41.933,0.215,0.225,96.74
0 days 01:05:56.245000,GAS,10,109.983,22.0,2.0,0 days 01:04:25.450000,,False,HARD,1.0,True,AlphaTauri,4,11.0,False,1,Austrian Grand Prix,True,C2,False,39.932,57.004,42.508,62.998,26.179,31.238,111.002
0 days 01:07:18.165000,GAS,10,81.92,23.0,2.0,,,False,HARD,2.0,True,AlphaTauri,4,11.0,False,1,Austrian Grand Prix,True,C2,False,11.869,16.943,14.445,21.408,-10.223,-11.095,82.988
0 days 01:09:12.176000,GAS,10,114.011,24.0,2.0,,,False,HARD,3.0,True,AlphaTauri,4,11.0,False,1,Austrian Grand Prix,True,C2,False,43.96,62.754,46.536,68.968,-0.04,-0.035,115.127
