Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,RoundNumber,EventName
0 days 00:47:06.249000,PER,11,,1.0,1.0,,,,0 days 00:00:42.926000,0 days 00:00:25.208000,,0 days 00:46:41.092000,0 days 00:47:06.295000,195.0,216.0,326.0,321.0,False,MEDIUM,5.0,False,Red Bull Racing,0 days 00:45:16.328000,,2,2.0,False,,False,False,4,Azerbaijan Grand Prix
0 days 00:49:16.287000,PER,11,0 days 00:02:10.038000,2.0,1.0,,,0 days 00:00:38.165000,0 days 00:00:57.443000,0 days 00:00:34.430000,0 days 00:47:44.414000,0 days 00:48:41.857000,0 days 00:49:16.287000,,114.0,264.0,273.0,True,MEDIUM,6.0,False,Red Bull Racing,0 days 00:47:06.249000,,26,2.0,False,,False,False,4,Azerbaijan Grand Prix
0 days 00:51:48.758000,PER,11,,3.0,1.0,,,0 days 00:00:54.004000,0 days 00:01:00.007000,0 days 00:00:38.427000,0 days 00:50:10.324000,0 days 00:51:10.339000,0 days 00:51:48.761000,150.0,164.0,235.0,239.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 00:49:16.287000,,64,2.0,False,,False,False,4,Azerbaijan Grand Prix
0 days 00:54:39.425000,PER,11,,4.0,1.0,,,0 days 00:01:01.476000,0 days 00:01:11.355000,0 days 00:00:37.873000,0 days 00:52:50.197000,0 days 00:54:01.587000,0 days 00:54:39.493000,111.0,159.0,276.0,176.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 00:51:48.758000,,4,2.0,False,,False,False,4,Azerbaijan Grand Prix
0 days 00:57:43.089000,PER,11,,5.0,1.0,,,0 days 00:00:54.940000,0 days 00:01:00.829000,0 days 00:01:07.920000,0 days 00:55:34.430000,0 days 00:56:35.226000,0 days 00:57:43.225000,145.0,107.0,307.0,99.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 00:54:39.425000,,4,2.0,False,,False,False,4,Azerbaijan Grand Prix
0 days 00:59:28.343000,PER,11,0 days 00:01:45.254000,6.0,1.0,,,0 days 00:00:38.019000,0 days 00:00:42.171000,0 days 00:00:25.064000,0 days 00:58:21.108000,0 days 00:59:03.279000,0 days 00:59:28.343000,206.0,217.0,329.0,322.0,True,MEDIUM,10.0,False,Red Bull Racing,0 days 00:57:43.089000,,1,2.0,False,,False,False,4,Azerbaijan Grand Prix
0 days 01:01:12.831000,PER,11,0 days 00:01:44.488000,7.0,1.0,,,0 days 00:00:37.457000,0 days 00:00:42.184000,0 days 00:00:24.847000,0 days 01:00:05.800000,0 days 01:00:47.984000,0 days 01:01:12.831000,215.0,221.0,345.0,324.0,True,MEDIUM,11.0,False,Red Bull Racing,0 days 00:59:28.343000,,1,2.0,False,,False,True,4,Azerbaijan Grand Prix
0 days 01:02:57.503000,PER,11,0 days 00:01:44.672000,8.0,1.0,,,0 days 00:00:37.464000,0 days 00:00:42,0 days 00:00:25.208000,0 days 01:01:50.295000,0 days 01:02:32.295000,0 days 01:02:57.503000,213.0,222.0,322.0,318.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 01:01:12.831000,,1,1.0,False,,False,True,4,Azerbaijan Grand Prix
0 days 01:04:41.435000,PER,11,0 days 00:01:43.932000,9.0,1.0,,,0 days 00:00:37.109000,0 days 00:00:41.673000,0 days 00:00:25.150000,0 days 01:03:34.612000,0 days 01:04:16.285000,0 days 01:04:41.435000,215.0,230.0,321.0,317.0,True,MEDIUM,13.0,False,Red Bull Racing,0 days 01:02:57.503000,,1,1.0,False,,False,True,4,Azerbaijan Grand Prix
0 days 01:06:25.204000,PER,11,0 days 00:01:43.769000,10.0,1.0,,,0 days 00:00:36.794000,0 days 00:00:41.743000,0 days 00:00:25.232000,0 days 01:05:18.229000,0 days 01:05:59.972000,0 days 01:06:25.204000,,222.0,322.0,318.0,True,MEDIUM,14.0,False,Red Bull Racing,0 days 01:04:41.435000,,1,1.0,False,,False,True,4,Azerbaijan Grand Prix
0 days 01:08:08.820000,PER,11,0 days 00:01:43.616000,11.0,1.0,,,0 days 00:00:36.867000,0 days 00:00:41.584000,0 days 00:00:25.165000,0 days 01:07:02.071000,0 days 01:07:43.655000,0 days 01:08:08.820000,217.0,234.0,322.0,318.0,True,MEDIUM,15.0,False,Red Bull Racing,0 days 01:06:25.204000,,1,1.0,False,,False,True,4,Azerbaijan Grand Prix
0 days 01:09:52.759000,PER,11,0 days 00:01:43.939000,12.0,1.0,,,0 days 00:00:36.909000,0 days 00:00:41.890000,0 days 00:00:25.140000,0 days 01:08:45.729000,0 days 01:09:27.619000,0 days 01:09:52.759000,216.0,232.0,322.0,318.0,False,MEDIUM,16.0,False,Red Bull Racing,0 days 01:08:08.820000,,1,1.0,False,,False,True,4,Azerbaijan Grand Prix
0 days 01:11:36.522000,PER,11,0 days 00:01:43.763000,13.0,1.0,,,0 days 00:00:36.754000,0 days 00:00:41.849000,0 days 00:00:25.160000,0 days 01:10:29.513000,0 days 01:11:11.362000,0 days 01:11:36.522000,214.0,227.0,322.0,317.0,False,MEDIUM,17.0,False,Red Bull Racing,0 days 01:09:52.759000,,1,1.0,False,,False,True,4,Azerbaijan Grand Prix
0 days 01:13:20.367000,PER,11,0 days 00:01:43.845000,14.0,1.0,,,0 days 00:00:36.866000,0 days 00:00:41.799000,0 days 00:00:25.180000,0 days 01:12:13.388000,0 days 01:12:55.187000,0 days 01:13:20.367000,213.0,231.0,322.0,318.0,False,MEDIUM,18.0,False,Red Bull Racing,0 days 01:11:36.522000,,1,1.0,False,,False,True,4,Azerbaijan Grand Prix
0 days 01:15:04.211000,PER,11,0 days 00:01:43.844000,15.0,1.0,,,0 days 00:00:36.900000,0 days 00:00:41.793000,0 days 00:00:25.151000,0 days 01:13:57.267000,0 days 01:14:39.060000,0 days 01:15:04.211000,214.0,227.0,322.0,319.0,False,MEDIUM,19.0,False,Red Bull Racing,0 days 01:13:20.367000,,1,1.0,False,,False,True,4,Azerbaijan Grand Prix
0 days 01:16:48.214000,PER,11,0 days 00:01:44.003000,16.0,1.0,,,0 days 00:00:37.007000,0 days 00:00:41.829000,0 days 00:00:25.167000,0 days 01:15:41.218000,0 days 01:16:23.047000,0 days 01:16:48.214000,215.0,223.0,322.0,319.0,False,MEDIUM,20.0,False,Red Bull Racing,0 days 01:15:04.211000,,1,1.0,False,,False,True,4,Azerbaijan Grand Prix
0 days 01:18:34.289000,PER,11,0 days 00:01:46.075000,17.0,1.0,,,0 days 00:00:37.193000,0 days 00:00:43.210000,0 days 00:00:25.672000,0 days 01:17:25.407000,0 days 01:18:08.617000,0 days 01:18:34.289000,201.0,209.0,264.0,319.0,False,MEDIUM,21.0,False,Red Bull Racing,0 days 01:16:48.214000,,1,1.0,False,,False,True,4,Azerbaijan Grand Prix
