Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,RoundNumber,EventName,IsSlick,CompoundName,IsValid,DeltaToRep,PctFromRep,DeltaToFastest,PctFromFastest,DeltaToLapRep,PctFromLapRep,FuelAdjLapTime
0 days 00:47:23.201000,VER,1,,1.0,1.0,,,False,MEDIUM,4.0,False,Red Bull Racing,1,3.0,False,5,Chinese Grand Prix,True,C3,False,,,,,,,
0 days 00:49:04.701000,VER,1,101.5,2.0,1.0,,,True,MEDIUM,5.0,False,Red Bull Racing,1,3.0,True,5,Chinese Grand Prix,True,C3,True,-1.087,-1.06,1.169,1.165,-1.648,-1.598,101.558
0 days 00:50:45.032000,VER,1,100.331,3.0,1.0,,,True,MEDIUM,6.0,False,Red Bull Racing,1,3.0,True,5,Chinese Grand Prix,True,C3,True,-2.256,-2.199,0.0,0.0,-1.942,-1.899,100.447
0 days 00:52:25.780000,VER,1,100.748,4.0,1.0,,,False,MEDIUM,7.0,False,Red Bull Racing,1,3.0,True,5,Chinese Grand Prix,True,C3,True,-1.839,-1.793,0.417,0.416,-1.118,-1.098,100.922
0 days 00:54:07.002000,VER,1,101.222,5.0,1.0,,,False,MEDIUM,8.0,False,Red Bull Racing,1,3.0,True,5,Chinese Grand Prix,True,C3,True,-1.365,-1.331,0.891,0.888,-0.718,-0.704,101.454
0 days 00:55:48.030000,VER,1,101.028,6.0,1.0,,,False,MEDIUM,9.0,False,Red Bull Racing,1,3.0,True,5,Chinese Grand Prix,True,C3,True,-1.559,-1.52,0.697,0.695,-1.125,-1.101,101.317
0 days 00:57:29.257000,VER,1,101.227,7.0,1.0,,,False,MEDIUM,10.0,False,Red Bull Racing,1,2.0,True,5,Chinese Grand Prix,True,C3,True,-1.36,-1.326,0.896,0.893,-1.227,-1.198,101.574
0 days 00:59:10.348000,VER,1,101.091,8.0,1.0,,,False,MEDIUM,11.0,False,Red Bull Racing,1,2.0,True,5,Chinese Grand Prix,True,C3,True,-1.496,-1.458,0.76,0.757,-1.453,-1.417,101.496
0 days 01:00:51.549000,VER,1,101.201,9.0,1.0,,,False,MEDIUM,12.0,False,Red Bull Racing,1,1.0,True,5,Chinese Grand Prix,True,C3,True,-1.386,-1.351,0.87,0.867,-1.297,-1.265,101.664
0 days 01:02:32.300000,VER,1,100.751,10.0,1.0,,,False,MEDIUM,13.0,False,Red Bull Racing,1,1.0,True,5,Chinese Grand Prix,True,C3,True,-1.836,-1.79,0.42,0.419,-1.741,-1.699,101.272
0 days 01:04:13.528000,VER,1,101.228,11.0,1.0,,,False,MEDIUM,14.0,False,Red Bull Racing,1,1.0,True,5,Chinese Grand Prix,True,C3,True,-1.359,-1.325,0.897,0.894,-1.327,-1.294,101.807
0 days 01:05:54.751000,VER,1,101.223,12.0,1.0,,,False,MEDIUM,15.0,False,Red Bull Racing,1,1.0,True,5,Chinese Grand Prix,True,C3,True,-1.364,-1.33,0.892,0.889,-1.427,-1.39,101.86
0 days 01:07:35.731000,VER,1,100.98,13.0,1.0,,,False,MEDIUM,16.0,False,Red Bull Racing,1,1.0,True,5,Chinese Grand Prix,True,C3,True,-1.607,-1.566,0.649,0.647,-1.84,-1.79,101.675
0 days 01:09:16.960000,VER,1,101.229,14.0,1.0,,,False,MEDIUM,17.0,False,Red Bull Racing,1,1.0,True,5,Chinese Grand Prix,True,C3,True,-1.358,-1.324,0.898,0.895,-1.877,-1.82,101.982
0 days 01:10:58.629000,VER,1,101.669,15.0,1.0,,,False,MEDIUM,18.0,False,Red Bull Racing,1,1.0,True,5,Chinese Grand Prix,True,C3,True,-0.918,-0.895,1.338,1.334,-1.169,-1.137,102.48
0 days 01:12:39.666000,VER,1,101.037,16.0,1.0,,,False,MEDIUM,19.0,False,Red Bull Racing,1,1.0,True,5,Chinese Grand Prix,True,C3,True,-1.55,-1.511,0.706,0.704,-2.151,-2.085,101.905
0 days 01:14:21.066000,VER,1,101.4,17.0,1.0,,,False,MEDIUM,20.0,False,Red Bull Racing,1,1.0,True,5,Chinese Grand Prix,True,C3,True,-1.187,-1.157,1.069,1.065,-1.449,-1.409,102.326
0 days 01:16:02.456000,VER,1,101.39,18.0,1.0,,,False,MEDIUM,21.0,False,Red Bull Racing,1,1.0,True,5,Chinese Grand Prix,True,C3,True,-1.197,-1.167,1.059,1.056,-1.738,-1.685,102.374
0 days 01:17:43.901000,VER,1,101.445,19.0,1.0,,,False,MEDIUM,22.0,False,Red Bull Racing,1,1.0,True,5,Chinese Grand Prix,True,C3,True,-1.142,-1.113,1.114,1.11,-2.005,-1.938,102.487
0 days 00:47:21.506000,HAM,44,,1.0,1.0,,,False,MEDIUM,1.0,True,Mercedes,1,1.0,False,5,Chinese Grand Prix,True,C3,False,,,,,,,
0 days 00:49:02.132000,HAM,44,100.626,2.0,1.0,,,True,MEDIUM,2.0,True,Mercedes,1,1.0,True,5,Chinese Grand Prix,True,C3,True,-1.961,-1.912,0.295,0.294,-2.522,-2.445,100.684
0 days 00:50:42.552000,HAM,44,100.42,3.0,1.0,,,True,MEDIUM,3.0,True,Mercedes,1,1.0,True,5,Chinese Grand Prix,True,C3,True,-2.167,-2.112,0.089,0.089,-1.853,-1.812,100.536
0 days 00:52:23.033000,HAM,44,100.481,4.0,1.0,,,False,MEDIUM,4.0,True,Mercedes,1,1.0,True,5,Chinese Grand Prix,True,C3,True,-2.106,-2.053,0.15,0.15,-1.385,-1.36,100.655
0 days 00:54:04.289000,HAM,44,101.256,5.0,1.0,,,False,MEDIUM,5.0,True,Mercedes,1,1.0,True,5,Chinese Grand Prix,True,C3,True,-1.331,-1.297,0.925,0.922,-0.684,-0.671,101.488
0 days 00:55:45.748000,HAM,44,101.459,6.0,1.0,,,False,MEDIUM,6.0,True,Mercedes,1,1.0,True,5,Chinese Grand Prix,True,C3,True,-1.128,-1.1,1.128,1.124,-0.694,-0.679,101.748
0 days 00:57:27.409000,HAM,44,101.661,7.0,1.0,,,False,MEDIUM,7.0,True,Mercedes,1,1.0,True,5,Chinese Grand Prix,True,C3,True,-0.926,-0.903,1.33,1.326,-0.793,-0.774,102.008
0 days 00:59:09.605000,HAM,44,102.196,8.0,1.0,,,False,MEDIUM,8.0,True,Mercedes,1,1.0,True,5,Chinese Grand Prix,True,C3,True,-0.391,-0.381,1.865,1.859,-0.348,-0.339,102.601
0 days 01:00:52.121000,HAM,44,102.516,9.0,1.0,,,False,MEDIUM,9.0,True,Mercedes,1,2.0,True,5,Chinese Grand Prix,True,C3,True,-0.071,-0.069,2.185,2.178,0.018,0.018,102.979
0 days 01:02:34.453000,HAM,44,102.332,10.0,1.0,,,False,MEDIUM,10.0,True,Mercedes,1,2.0,True,5,Chinese Grand Prix,True,C3,True,-0.255,-0.249,2.001,1.994,-0.16,-0.156,102.853
