Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,RoundNumber,EventName
0 days 00:45:35.058000,VER,33,,1.0,2.0,,,,0 days 00:00:36.270000,0 days 00:00:24.888000,,0 days 00:45:10.213000,0 days 00:45:35.185000,297.0,266.0,250.0,296.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:44:02.355000,,2,1.0,False,,False,False,10,British Grand Prix
0 days 00:47:05.681000,VER,33,0 days 00:01:30.623000,2.0,2.0,,,0 days 00:00:28.777000,0 days 00:00:36.738000,0 days 00:00:25.108000,0 days 00:46:03.835000,0 days 00:46:40.573000,0 days 00:47:05.681000,292.0,265.0,247.0,297.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:45:35.058000,,1,1.0,False,,False,True,10,British Grand Prix
0 days 00:48:36.105000,VER,33,0 days 00:01:30.424000,3.0,2.0,,,0 days 00:00:28.811000,0 days 00:00:36.754000,0 days 00:00:24.859000,0 days 00:47:34.492000,0 days 00:48:11.246000,0 days 00:48:36.105000,290.0,264.0,249.0,297.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 00:47:05.681000,,1,1.0,False,,False,True,10,British Grand Prix
0 days 00:50:06.462000,VER,33,0 days 00:01:30.357000,4.0,2.0,,,0 days 00:00:28.846000,0 days 00:00:36.769000,0 days 00:00:24.742000,0 days 00:49:04.951000,0 days 00:49:41.720000,0 days 00:50:06.462000,286.0,264.0,250.0,299.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 00:48:36.105000,,1,1.0,False,,False,True,10,British Grand Prix
0 days 00:51:36.940000,VER,33,0 days 00:01:30.478000,5.0,2.0,,,0 days 00:00:28.812000,0 days 00:00:36.739000,0 days 00:00:24.927000,0 days 00:50:35.274000,0 days 00:51:12.013000,0 days 00:51:36.940000,292.0,265.0,248.0,299.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 00:50:06.462000,,1,1.0,False,,False,True,10,British Grand Prix
0 days 00:53:07.139000,VER,33,0 days 00:01:30.199000,6.0,2.0,,,0 days 00:00:28.664000,0 days 00:00:36.591000,0 days 00:00:24.944000,0 days 00:52:05.604000,0 days 00:52:42.195000,0 days 00:53:07.139000,,265.0,249.0,299.0,True,MEDIUM,6.0,True,Red Bull Racing,0 days 00:51:36.940000,,1,1.0,False,,False,True,10,British Grand Prix
0 days 00:54:37.479000,VER,33,0 days 00:01:30.340000,7.0,2.0,,,0 days 00:00:28.720000,0 days 00:00:36.827000,0 days 00:00:24.793000,0 days 00:53:35.859000,0 days 00:54:12.686000,0 days 00:54:37.479000,,265.0,249.0,298.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 00:53:07.139000,,1,1.0,False,,False,True,10,British Grand Prix
0 days 00:56:07.669000,VER,33,0 days 00:01:30.190000,8.0,2.0,,,0 days 00:00:28.759000,0 days 00:00:36.724000,0 days 00:00:24.707000,0 days 00:55:06.238000,0 days 00:55:42.962000,0 days 00:56:07.669000,291.0,265.0,250.0,298.0,True,MEDIUM,8.0,True,Red Bull Racing,0 days 00:54:37.479000,,1,1.0,False,,False,True,10,British Grand Prix
0 days 00:57:38.038000,VER,33,0 days 00:01:30.369000,9.0,2.0,,,0 days 00:00:28.739000,0 days 00:00:36.693000,0 days 00:00:24.937000,0 days 00:56:36.408000,0 days 00:57:13.101000,0 days 00:57:38.038000,292.0,267.0,249.0,298.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 00:56:07.669000,,1,1.0,False,,False,True,10,British Grand Prix
0 days 00:59:08.431000,VER,33,0 days 00:01:30.393000,10.0,2.0,,,0 days 00:00:28.701000,0 days 00:00:36.776000,0 days 00:00:24.916000,0 days 00:58:06.739000,0 days 00:58:43.515000,0 days 00:59:08.431000,291.0,265.0,249.0,298.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 00:57:38.038000,,1,1.0,False,,False,True,10,British Grand Prix
