Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,RoundNumber,EventName,IsSlick,CompoundName,IsValid,DeltaToRep,PctFromRep,DeltaToFastest,PctFromFastest,DeltaToLapRep,PctFromLapRep,FuelAdjLapTime
0 days 00:45:35.058000,VER,33,,1.0,2.0,,,False,MEDIUM,1.0,True,Red Bull Racing,2,1.0,False,10,British Grand Prix,True,C2,False,,,,,,,
0 days 00:47:05.681000,VER,33,90.623,2.0,2.0,,,True,MEDIUM,2.0,True,Red Bull Racing,1,1.0,True,10,British Grand Prix,True,C2,True,-2.026,-2.187,0.686,0.763,-3.056,-3.262,90.688
0 days 00:48:36.105000,VER,33,90.424,3.0,2.0,,,True,MEDIUM,3.0,True,Red Bull Racing,1,1.0,True,10,British Grand Prix,True,C2,True,-2.225,-2.402,0.487,0.541,-2.526,-2.718,90.553
0 days 00:50:06.462000,VER,33,90.357,4.0,2.0,,,True,MEDIUM,4.0,True,Red Bull Racing,1,1.0,True,10,British Grand Prix,True,C2,True,-2.292,-2.474,0.42,0.467,-2.321,-2.504,90.551
0 days 00:51:36.940000,VER,33,90.478,5.0,2.0,,,False,MEDIUM,5.0,True,Red Bull Racing,1,1.0,True,10,British Grand Prix,True,C2,True,-2.171,-2.343,0.541,0.602,-2.523,-2.713,90.737
0 days 00:53:07.139000,VER,33,90.199,6.0,2.0,,,True,MEDIUM,6.0,True,Red Bull Racing,1,1.0,True,10,British Grand Prix,True,C2,True,-2.45,-2.644,0.262,0.291,-2.718,-2.925,90.523
0 days 00:54:37.479000,VER,33,90.34,7.0,2.0,,,False,MEDIUM,7.0,True,Red Bull Racing,1,1.0,True,10,British Grand Prix,True,C2,True,-2.309,-2.492,0.403,0.448,-2.524,-2.718,90.728
0 days 00:56:07.669000,VER,33,90.19,8.0,2.0,,,True,MEDIUM,8.0,True,Red Bull Racing,1,1.0,True,10,British Grand Prix,True,C2,True,-2.459,-2.654,0.253,0.281,-2.64,-2.844,90.643
0 days 00:57:38.038000,VER,33,90.369,9.0,2.0,,,False,MEDIUM,9.0,True,Red Bull Racing,1,1.0,True,10,British Grand Prix,True,C2,True,-2.28,-2.461,0.432,0.48,-2.576,-2.772,90.887
0 days 00:59:08.431000,VER,33,90.393,10.0,2.0,,,False,MEDIUM,10.0,True,Red Bull Racing,1,1.0,True,10,British Grand Prix,True,C2,True,-2.256,-2.435,0.456,0.507,-2.343,-2.527,90.975
0 days 01:00:38.624000,VER,33,90.193,11.0,2.0,,,False,MEDIUM,11.0,True,Red Bull Racing,1,1.0,True,10,British Grand Prix,True,C2,True,-2.456,-2.651,0.256,0.285,-2.438,-2.632,90.84
0 days 01:02:08.825000,VER,33,90.201,12.0,2.0,,,False,MEDIUM,12.0,True,Red Bull Racing,1,1.0,True,10,British Grand Prix,True,C2,True,-2.448,-2.642,0.264,0.294,-2.391,-2.582,90.913
0 days 01:03:38.874000,VER,33,90.049,13.0,2.0,,,True,MEDIUM,13.0,True,Red Bull Racing,1,1.0,True,10,British Grand Prix,True,C2,True,-2.6,-2.806,0.112,0.125,-2.428,-2.626,90.825
0 days 01:05:08.887000,VER,33,90.013,14.0,2.0,,,True,MEDIUM,14.0,True,Red Bull Racing,1,1.0,True,10,British Grand Prix,True,C2,True,-2.636,-2.845,0.076,0.085,-2.395,-2.592,90.854
0 days 01:06:39.363000,VER,33,90.476,15.0,2.0,,,False,MEDIUM,15.0,True,Red Bull Racing,1,1.0,True,10,British Grand Prix,True,C2,True,-2.173,-2.345,0.539,0.599,-2.003,-2.166,91.382
0 days 01:08:10.196000,VER,33,90.833,16.0,2.0,,,False,MEDIUM,16.0,True,Red Bull Racing,1,1.0,True,10,British Grand Prix,True,C2,True,-1.816,-1.96,0.896,0.996,-1.381,-1.498,91.804
0 days 01:09:40.991000,VER,33,90.795,17.0,2.0,,,False,MEDIUM,17.0,True,Red Bull Racing,1,1.0,True,10,British Grand Prix,True,C2,True,-1.854,-2.001,0.858,0.954,-1.348,-1.463,91.83
